,Name,Sex,Age,Year,Country,Event,Medal,Event_Type,Season
239320,"William Henry ""Will"" Thompson",M,56,1904,USA,Archery Men's Team Round,Gold,Team,Summer
245485,Ryan Tyack,M,25,2016,AUS,Archery Men's Team,Bronze,Team,Summer
246340,Lisa Unruh,F,28,2016,GER,Archery Women's Individual,Silver,Individual,Summer
247507,Natalia Valeeva,F,22,1992,EUN,Archery Women's Individual,Bronze,Individual,Summer
247508,Natalia Valeeva,F,22,1992,EUN,Archery Women's Team,Bronze,Team,Summer
247717,Jean-Charles Valladont,M,27,2016,FRA,Archery Men's Individual,Silver,Individual,Summer
247957,Wietse Cornelis van Alten,M,21,2000,NED,Archery Men's Individual,Bronze,Individual,Summer
248026,Louis Van Beeck,M,33,1920,BEL,"Archery Men's Target Archery, 28 metres, Team",Silver,Team,Summer
248027,Louis Van Beeck,M,33,1920,BEL,"Archery Men's Target Archery, 33 metres, Team",Gold,Team,Summer
248028,Louis Van Beeck,M,33,1920,BEL,"Archery Men's Target Archery, 50 metres, Team",Gold,Team,Summer
248116,"Hendrikus ""Driekske"" van Bussel",M,51,1920,NED,"Archery Men's Target Archery, 28 metres, Team",Gold,Team,Summer
248198,Louis Van De Perck,M,33,1920,BEL,"Archery Men's Pole Archery, Small Birds, Individual",Silver,Individual,Summer
248199,Louis Van De Perck,M,33,1920,BEL,"Archery Men's Pole Archery, Large Birds, Individual",Silver,Individual,Summer
248200,Louis Van De Perck,M,33,1920,BEL,"Archery Men's Pole Archery, Small Birds, Team",Gold,Team,Summer
248201,Louis Van De Perck,M,33,1920,BEL,"Archery Men's Pole Archery, Large Birds, Team",Gold,Team,Summer
248226,Auguste Van De Verre,M,33,1920,BEL,"Archery Men's Pole Archery, Small Birds, Team",Gold,Team,Summer
248227,Auguste Van De Verre,M,33,1920,BEL,"Archery Men's Pole Archery, Large Birds, Team",Gold,Team,Summer
248859,"Johannes Jacobus ""Jo"" van Gastel, Jr.",M,33,1920,NED,"Archery Men's Target Archery, 28 metres, Team",Gold,Team,Summer
248904,"Jan Baptist Jozef ""Tiest"" van Gestel",M,39,1920,NED,"Archery Men's Target Archery, 28 metres, Team",Gold,Team,Summer
249066,Gerard Theodor Hubert Van Innis,M,34,1900,BEL,"Archery Men's Au Chapelet, 33 metres",Gold,Individual,Summer
249068,Gerard Theodor Hubert Van Innis,M,34,1900,BEL,"Archery Men's Au Cordon Dore, 33 metres",Gold,Individual,Summer
249069,Gerard Theodor Hubert Van Innis,M,34,1900,BEL,"Archery Men's Au Cordon Dore, 50 metres",Silver,Individual,Summer
249070,Gerard Theodor Hubert Van Innis,M,34,1900,BEL,Archery Men's Championnat Du Monde,Silver,Individual,Summer
249071,Gerard Theodor Hubert Van Innis,M,54,1920,BEL,"Archery Men's Target Archery, 28 metres, Individual",Gold,Individual,Summer
249072,Gerard Theodor Hubert Van Innis,M,54,1920,BEL,"Archery Men's Target Archery, 33 metres, Individual",Gold,Individual,Summer
249073,Gerard Theodor Hubert Van Innis,M,54,1920,BEL,"Archery Men's Target Archery, 50 metres, Individual",Silver,Individual,Summer
249074,Gerard Theodor Hubert Van Innis,M,54,1920,BEL,"Archery Men's Target Archery, 28 metres, Team",Silver,Team,Summer
249075,Gerard Theodor Hubert Van Innis,M,54,1920,BEL,"Archery Men's Target Archery, 33 metres, Team",Gold,Team,Summer
249076,Gerard Theodor Hubert Van Innis,M,54,1920,BEL,"Archery Men's Target Archery, 50 metres, Team",Gold,Team,Summer
249235,"Adrianus ""Janus"" van Merrienboer",M,25,1920,NED,"Archery Men's Target Archery, 28 metres, Team",Gold,Team,Summer
249245,Edmond Van Moer,M,33,1920,BEL,"Archery Men's Pole Archery, Small Birds, Individual",Gold,Individual,Summer
249247,Edmond Van Moer,M,33,1920,BEL,"Archery Men's Pole Archery, Small Birds, Team",Gold,Team,Summer
249248,Edmond Van Moer,M,33,1920,BEL,"Archery Men's Pole Archery, Large Birds, Team",Gold,Team,Summer
249522,Pierre Van Thielt,M,33,1920,BEL,"Archery Men's Target Archery, 28 metres, Team",Silver,Team,Summer
249523,Pierre Van Thielt,M,33,1920,BEL,"Archery Men's Target Archery, 33 metres, Team",Gold,Team,Summer
249524,Pierre Van Thielt,M,33,1920,BEL,"Archery Men's Target Archery, 50 metres, Team",Gold,Team,Summer
250709,Antonio Vzquez Megido,M,31,1992,ESP,Archery Men's Team,Gold,Team,Summer
251762,Pierre Louis Vernet,M,37,1908,FRA,Archery Men's Continental Style,Silver,Individual,Summer
255525,Sandra Wagner-Sachse,F,26,1996,GER,Archery Women's Team,Silver,Team,Summer
255527,Sandra Wagner-Sachse,F,31,2000,GER,Archery Women's Team,Bronze,Team,Summer
256459,Wang Cheng-Pang,M,17,2004,TPE,Archery Men's Team,Silver,Team,Summer
256561,Wang Hong,F,27,1992,CHN,Archery Women's Team,Silver,Team,Summer
256570,Wang Hui-Gyeong,F,18,1988,KOR,Archery Women's Individual,Silver,Individual,Summer
256571,Wang Hui-Gyeong,F,18,1988,KOR,Archery Women's Team,Gold,Team,Summer
256832,Wang Xiaozhu,F,19,1992,CHN,Archery Women's Team,Silver,Team,Summer
257102,Kusuma Wardhani,F,24,1988,INA,Archery Women's Team,Silver,Team,Summer
257554,Leroy Denver Watson,M,23,1988,GBR,Archery Men's Team,Bronze,Team,Summer
259707,"Rodney E. ""Rod"" White",M,19,1996,USA,Archery Men's Team,Gold,Team,Summer
259709,"Rodney E. ""Rod"" White",M,23,2000,USA,Archery Men's Team,Bronze,Team,Summer
260528,Doreen Viola Wilber (Hansen-),F,42,1972,USA,Archery Women's Individual,Gold,Individual,Summer
260851,"Theodorus ""Theo"" Willems",M,29,1920,NED,"Archery Men's Target Archery, 28 metres, Team",Gold,Team,Summer
261007,John Chester Williams,M,18,1972,USA,Archery Men's Individual,Gold,Individual,Summer
261100,"Robert W. Williams, Jr.",M,63,1904,USA,Archery Men's Double American Round,Silver,Team,Summer
261101,"Robert W. Williams, Jr.",M,63,1904,USA,Archery Men's Double York Round,Silver,Team,Summer
261102,"Robert W. Williams, Jr.",M,63,1904,USA,Archery Men's Team Round,Gold,Team,Summer
261210,Alison Jane Williamson (-Conaghan),F,32,2004,GBR,Archery Women's Individual,Bronze,Individual,Summer
262861,Charles Sherman Woodruff,M,59,1904,USA,Archery Men's Team Round,Silver,Team,Summer
262865,Emily Woodruff (Smiley-),F,58,1904,USA,Archery Women's Team Round,Gold,Team,Summer
263042,Taylor Worth,M,25,2016,AUS,Archery Men's Team,Bronze,Team,Summer
263346,Wu Hui-Ju,F,21,2004,TPE,Archery Women's Team,Bronze,Team,Summer
263504,Jacob Wukie,M,26,2012,USA,Archery Men's Team,Silver,Team,Summer
263511,"Victor Steven ""Vic"" Wunderle",M,24,2000,USA,Archery Men's Individual,Silver,Individual,Summer
263512,"Victor Steven ""Vic"" Wunderle",M,24,2000,USA,Archery Men's Team,Bronze,Team,Summer
263927,Xu Jing,F,21,2012,CHN,Archery Women's Team,Silver,Team,Summer
264027,Xue Haifeng,M,28,2008,CHN,Archery Men's Team,Bronze,Team,Summer
264368,Hiroshi Yamamoto,M,21,1984,JPN,Archery Men's Individual,Bronze,Individual,Summer
264374,Hiroshi Yamamoto,M,41,2004,JPN,Archery Men's Individual,Silver,Individual,Summer
265621,Vladimir Nikolayevich Yesheyev,M,30,1988,URS,Archery Men's Individual,Bronze,Individual,Summer
266665,Yuan Shu-Chi,F,19,2004,TPE,Archery Women's Team,Bronze,Team,Summer
266780,Yun Hye-Yeong,F,19,1996,KOR,Archery Women's Team,Gold,Team,Summer
266799,Yun Mi-Jin,F,17,2000,KOR,Archery Women's Individual,Gold,Individual,Summer
266800,Yun Mi-Jin,F,17,2000,KOR,Archery Women's Team,Gold,Team,Summer
266802,Yun Mi-Jin,F,21,2004,KOR,Archery Women's Team,Gold,Team,Summer
266810,Yun Ok-Hui,F,23,2008,KOR,Archery Women's Individual,Bronze,Individual,Summer
266811,Yun Ok-Hui,F,23,2008,KOR,Archery Women's Team,Gold,Team,Summer
266827,Yun Yeong-Suk,F,17,1988,KOR,Archery Women's Individual,Bronze,Individual,Summer
266828,Yun Yeong-Suk,F,17,1988,KOR,Archery Women's Team,Gold,Team,Summer
268810,Zhang Juanjuan,F,23,2004,CHN,Archery Women's Team,Silver,Team,Summer
268811,Zhang Juanjuan,F,27,2008,CHN,Archery Women's Individual,Gold,Individual,Summer
268812,Zhang Juanjuan,F,27,2008,CHN,Archery Women's Team,Silver,Team,Summer
